,Photon_Energy,Coherent,Incoherent,Photoelectric,PP_Nuclear,PP_Electron,Total_With_Coh,Total_No_Coh
0,0.001,5.339,0.006186,1887.0,0.0,0.0,1892.0,1887.0
1,0.001103,5.277,0.00723,1495.0,0.0,0.0,1501.0,1495.0
2,0.001217,5.209,0.008427,1185.0,0.0,0.0,1190.0,1185.0
3,0.001217,5.209,0.008427,4356.0,0.0,0.0,4361.0,4356.0
4,0.001232,5.2,0.008591,4651.0,0.0,0.0,4656.0,4651.0
5,0.001248,5.19,0.008758,4966.0,0.0,0.0,4972.0,4966.0
6,0.001248,5.19,0.008758,6650.0,0.0,0.0,6655.0,6650.0
7,0.001328,5.143,0.009622,6074.0,0.0,0.0,6079.0,6074.0
8,0.001414,5.092,0.01054,5549.0,0.0,0.0,5554.0,5549.0
9,0.001414,5.092,0.01054,6282.0,0.0,0.0,6287.0,6282.0
10,0.0015,5.036,0.01145,5470.0,0.0,0.0,5475.0,5470.0
11,0.002,4.713,0.01665,2706.0,0.0,0.0,2711.0,2706.0
12,0.003,4.104,0.02603,957.1,0.0,0.0,961.2,957.1
13,0.004,3.577,0.03422,446.1,0.0,0.0,449.7,446.2
14,0.005,3.123,0.04168,244.1,0.0,0.0,247.3,244.1
15,0.006,2.727,0.04857,148.1,0.0,0.0,150.9,148.2
16,0.008,2.092,0.06078,66.75,0.0,0.0,68.9,66.81
17,0.01,1.636,0.07115,35.71,0.0,0.0,37.42,35.78
18,0.0111,1.446,0.07614,26.59,0.0,0.0,28.11,26.67
19,0.0111,1.446,0.07614,196.6,0.0,0.0,198.2,196.7
20,0.015,0.9878,0.09049,90.4,0.0,0.0,91.48,90.49
21,0.02,0.6767,0.1027,41.44,0.0,0.0,42.22,41.54
22,0.03,0.3804,0.1161,13.35,0.0,0.0,13.85,13.47
23,0.04,0.2411,0.1223,5.843,0.0,0.0,6.206,5.965
24,0.05,0.1664,0.1248,3.044,0.0,0.0,3.335,3.169
25,0.06,0.1223,0.1254,1.775,0.0,0.0,2.023,1.9
26,0.08,0.07468,0.1239,0.7515,0.0,0.0,0.9501,0.8754
27,0.1,0.05045,0.121,0.3835,0.0,0.0,0.555,0.5045
28,0.15,0.02408,0.1125,0.1125,0.0,0.0,0.2491,0.225
29,0.2,0.014,0.1048,0.04732,0.0,0.0,0.1661,0.1521
30,0.3,0.006433,0.09231,0.01437,0.0,0.0,0.1131,0.1067
31,0.4,0.003675,0.08319,0.006412,0.0,0.0,0.09327,0.0896
32,0.5,0.002372,0.0762,0.003541,0.0,0.0,0.08212,0.07975
33,0.6,0.001655,0.07063,0.002238,0.0,0.0,0.07452,0.07287
34,0.8,0.0009364,0.06218,0.001144,0.0,0.0,0.06426,0.06332
35,1.0,0.0006006,0.05596,0.000712,0.0,0.0,0.05727,0.05667
36,1.022,0.0005752,0.05537,0.0006766,0.0,0.0,0.05662,0.05605
37,1.25,0.0003851,0.05008,0.0004572,8.899e-05,0.0,0.05101,0.05062
38,1.5,0.0002676,0.04553,0.0003291,0.0004412,0.0,0.04657,0.0463
39,2.0,0.0001507,0.03887,0.0002021,0.001635,0.0,0.04086,0.04071
40,2.044,0.0001443,0.03839,0.0001952,0.001755,0.0,0.04049,0.04034
41,3.0,6.701e-05,0.0306,0.000109,0.00446,1.071e-05,0.03524,0.03518
42,4.0,3.77e-05,0.02552,7.309e-05,0.007071,4.37e-05,0.03275,0.03271
43,5.0,2.413e-05,0.02204,5.454e-05,0.009372,8.7e-05,0.03158,0.03156
44,6.0,1.676e-05,0.01948,4.334e-05,0.0114,0.0001336,0.03107,0.03105
45,7.0,1.232e-05,0.01752,3.587e-05,0.0132,0.00018,0.03095,0.03094
46,8.0,9.43e-06,0.01594,3.056e-05,0.01483,0.000225,0.03104,0.03103
47,9.0,7.45e-06,0.01466,2.661e-05,0.01631,0.0002681,0.03126,0.03126
48,10.0,6.035e-06,0.01358,2.355e-05,0.01764,0.000309,0.03156,0.03155
49,11.0,4.987e-06,0.01266,2.111e-05,0.01886,0.0003478,0.0319,0.03189
50,12.0,4.191e-06,0.01188,1.913e-05,0.01997,0.0003845,0.03226,0.03225
51,13.0,3.57e-06,0.01119,1.748e-05,0.02101,0.000419,0.03264,0.03263
52,14.0,3.079e-06,0.01058,1.609e-05,0.02196,0.0004519,0.03302,0.03301
53,15.0,2.682e-06,0.01005,1.49e-05,0.02285,0.0004831,0.0334,0.0334
54,16.0,2.357e-06,0.009571,1.388e-05,0.02369,0.0005127,0.03379,0.03378
55,18.0,1.863e-06,0.008742,1.22e-05,0.02521,0.0005678,0.03454,0.03453
56,20.0,1.509e-06,0.008065,1.088e-05,0.02658,0.0006179,0.03528,0.03528
57,22.0,1.247e-06,0.007491,9.82e-06,0.02782,0.0006638,0.03598,0.03598
58,24.0,1.048e-06,0.007,8.949e-06,0.02895,0.0007062,0.03666,0.03666
59,26.0,8.924e-07,0.006573,8.218e-06,0.02997,0.0007454,0.0373,0.0373
60,28.0,7.697e-07,0.0062,7.597e-06,0.03092,0.0007817,0.03791,0.03791
61,30.0,6.706e-07,0.005871,7.063e-06,0.03179,0.0008156,0.03848,0.03848
62,40.0,3.772e-07,0.004666,5.225e-06,0.03535,0.0009563,0.04098,0.04098
63,50.0,2.413e-07,0.003895,4.145e-06,0.03799,0.001064,0.04296,0.04296
64,60.0,1.676e-07,0.003356,3.435e-06,0.04007,0.00115,0.04458,0.04458
65,80.0,9.43e-08,0.002647,2.559e-06,0.04314,0.001279,0.04706,0.04706
66,100.0,6.035e-08,0.002196,2.038e-06,0.04532,0.001373,0.04889,0.04889
67,150.0,2.682e-08,0.001564,1.351e-06,0.04879,0.001531,0.05189,0.05189
68,200.0,1.509e-08,0.001227,1.01e-06,0.05087,0.001631,0.05373,0.05373
