,E_MeV,dGamma
0,0.0,0.0
1,0.002,0.0
2,0.003,9.068e-23
3,0.004,1.479e-22
4,0.005,2.048e-22
5,0.006,2.595e-22
6,0.007,3.126e-22
7,0.008,3.65e-22
8,0.009,4.178e-22
9,0.01,4.714e-22
10,0.011,5.258e-22
11,0.012,5.808e-22
12,0.013,6.359e-22
13,0.014,6.908e-22
14,0.015,7.455e-22
15,0.016,8.001e-22
16,0.017,8.545e-22
17,0.018,9.09e-22
18,0.019,9.637e-22
19,0.02,1.019e-21
20,0.021,1.074e-21
21,0.022,1.13e-21
22,0.023,1.185e-21
23,0.024,1.241e-21
24,0.025,1.297e-21
25,0.026,1.354e-21
26,0.027,1.41e-21
27,0.028,1.466e-21
28,0.029,1.522e-21
29,0.03,1.578e-21
30,0.031,1.635e-21
31,0.032,1.692e-21
32,0.033,1.749e-21
33,0.034,1.806e-21
34,0.035,1.863e-21
35,0.036,1.921e-21
36,0.037,1.978e-21
37,0.038,2.036e-21
38,0.039,2.094e-21
39,0.04,2.152e-21
40,0.041,2.211e-21
41,0.042,2.269e-21
42,0.043,2.328e-21
43,0.044,2.386e-21
44,0.045,2.445e-21
45,0.046,2.504e-21
46,0.047,2.563e-21
47,0.048,2.623e-21
48,0.049,2.682e-21
49,0.05,2.742e-21
50,0.051,2.802e-21
51,0.052,2.862e-21
52,0.053,2.922e-21
53,0.054,2.983e-21
54,0.055,3.043e-21
55,0.056,3.104e-21
56,0.057,3.165e-21
57,0.058,3.226e-21
58,0.059,3.287e-21
59,0.06,3.348e-21
60,0.061,3.41e-21
61,0.062,3.472e-21
62,0.063,3.533e-21
63,0.064,3.595e-21
64,0.065,3.658e-21
65,0.066,3.72e-21
66,0.067,3.782e-21
67,0.068,3.845e-21
68,0.069,3.908e-21
69,0.07,3.971e-21
70,0.071,4.034e-21
71,0.072,4.097e-21
72,0.073,4.161e-21
73,0.074,4.225e-21
74,0.075,4.288e-21
75,0.076,4.352e-21
76,0.077,4.416e-21
77,0.078,4.481e-21
78,0.079,4.545e-21
79,0.08,4.61e-21
80,0.081,4.674e-21
81,0.082,4.739e-21
82,0.083,4.804e-21
83,0.084,4.869e-21
84,0.085,4.935e-21
85,0.086,5e-21
86,0.087,5.066e-21
87,0.088,5.131e-21
88,0.089,5.197e-21
89,0.09,5.264e-21
90,0.091,5.33e-21
91,0.092,5.396e-21
92,0.093,5.463e-21
93,0.094,5.529e-21
94,0.095,5.596e-21
95,0.096,5.663e-21
96,0.097,5.73e-21
97,0.098,5.797e-21
98,0.099,5.865e-21
99,0.1,5.932e-21
100,0.101,6e-21
101,0.102,6.068e-21
102,0.103,6.135e-21
103,0.104,6.203e-21
104,0.105,6.272e-21
105,0.106,6.34e-21
106,0.107,6.408e-21
107,0.108,6.477e-21
108,0.109,6.546e-21
109,0.11,6.614e-21
110,0.111,6.683e-21
111,0.112,6.753e-21
112,0.113,6.822e-21
113,0.114,6.891e-21
114,0.115,6.961e-21
115,0.116,7.03e-21
116,0.117,7.1e-21
117,0.118,7.17e-21
118,0.119,7.24e-21
119,0.12,7.31e-21
120,0.121,7.38e-21
121,0.122,7.45e-21
122,0.123,7.521e-21
123,0.124,7.591e-21
124,0.125,7.662e-21
125,0.126,7.733e-21
126,0.127,7.803e-21
127,0.128,7.874e-21
128,0.129,7.946e-21
129,0.13,8.017e-21
130,0.131,8.088e-21
131,0.132,8.16e-21
132,0.133,8.231e-21
133,0.134,8.303e-21
134,0.135,8.375e-21
135,0.136,8.446e-21
136,0.137,8.518e-21
137,0.138,8.591e-21
138,0.139,8.663e-21
139,0.14,8.735e-21
140,0.141,8.807e-21
141,0.142,8.88e-21
142,0.143,8.952e-21
143,0.144,9.025e-21
144,0.145,9.098e-21
145,0.146,9.171e-21
146,0.147,9.244e-21
147,0.148,9.317e-21
148,0.149,9.39e-21
149,0.15,9.463e-21
150,0.151,9.536e-21
151,0.152,9.61e-21
